Solver,network,property,cpus,state,runtime,SAT/UNSAT
Marabou,ACASXU_run2a_5_4_batch_2000,property3,64,Ok,18.60,UNSAT
Marabou,ACASXU_run2a_2_4_batch_2000,property3,64,Ok,22.04,UNSAT
Marabou,ACASXU_run2a_3_8_batch_2000,property3,64,Ok,76.24,UNSAT
Marabou,ACASXU_run2a_2_8_batch_2000,property3,64,Ok,21.94,UNSAT
Marabou,ACASXU_run2a_4_7_batch_2000,property3,64,Ok,71.65,UNSAT
Marabou,ACASXU_run2a_2_9_batch_2000,property3,64,Ok,19.25,UNSAT
Marabou,ACASXU_run2a_1_5_batch_2000,property3,64,Ok,68.56,UNSAT
Marabou,ACASXU_run2a_2_7_batch_2000,property3,64,Ok,21.45,UNSAT
Marabou,ACASXU_run2a_5_9_batch_2000,property3,64,Ok,20.58,UNSAT
Marabou,ACASXU_run2a_5_2_batch_2000,property3,64,Ok,60.66,UNSAT
Marabou,ACASXU_run2a_3_5_batch_2000,property3,64,Ok,26.93,UNSAT
Marabou,ACASXU_run2a_2_2_batch_2000,property3,64,Ok,126.15,UNSAT
Marabou,ACASXU_run2a_4_1_batch_2000,property3,64,Ok,88.07,UNSAT
Marabou,ACASXU_run2a_3_3_batch_2000,property3,64,Ok,31.10,UNSAT
Marabou,ACASXU_run2a_1_3_batch_2000,property3,64,Ok,141.38,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property3,64,Ok,20.06,UNSAT
Marabou,ACASXU_run2a_3_1_batch_2000,property3,64,Ok,76.53,UNSAT
Marabou,ACASXU_run2a_1_8_batch_2000,property3,64,Ok,17.66,SAT
Marabou,ACASXU_run2a_4_3_batch_2000,property3,64,Ok,182.48,UNSAT
Marabou,ACASXU_run2a_3_7_batch_2000,property3,64,Ok,21.21,UNSAT
Marabou,ACASXU_run2a_1_6_batch_2000,property3,64,Ok,23.20,UNSAT
Marabou,ACASXU_run2a_1_1_batch_2000,property3,64,Ok,477.87,UNSAT
Marabou,ACASXU_run2a_3_4_batch_2000,property3,64,Ok,93.45,UNSAT
Marabou,ACASXU_run2a_2_5_batch_2000,property3,64,Ok,20.80,UNSAT
Marabou,ACASXU_run2a_5_6_batch_2000,property3,64,Ok,61.15,UNSAT
Marabou,ACASXU_run2a_4_9_batch_2000,property3,64,Ok,22.44,UNSAT
Marabou,ACASXU_run2a_4_4_batch_2000,property3,64,Ok,19.95,UNSAT
Marabou,ACASXU_run2a_2_6_batch_2000,property3,64,Ok,21.78,UNSAT
Marabou,ACASXU_run2a_3_2_batch_2000,property3,64,Ok,131.16,UNSAT
Marabou,ACASXU_run2a_1_4_batch_2000,property3,64,Ok,55.00,UNSAT
Marabou,ACASXU_run2a_5_5_batch_2000,property3,64,Ok,24.02,UNSAT
Marabou,ACASXU_run2a_4_2_batch_2000,property3,64,Ok,372.13,UNSAT
Marabou,ACASXU_run2a_4_8_batch_2000,property3,64,Ok,53.38,UNSAT
Marabou,ACASXU_run2a_2_3_batch_2000,property3,64,Ok,157.43,UNSAT
Marabou,ACASXU_run2a_1_9_batch_2000,property3,64,Ok,17.56,SAT
Marabou,ACASXU_run2a_1_7_batch_2000,property3,64,Ok,19.44,SAT
Marabou,ACASXU_run2a_1_2_batch_2000,property3,64,Ok,196.78,UNSAT
Marabou,ACASXU_run2a_5_3_batch_2000,property3,64,Ok,29.30,UNSAT
Marabou,ACASXU_run2a_5_8_batch_2000,property3,64,Ok,30.92,UNSAT
Marabou,ACASXU_run2a_3_9_batch_2000,property3,64,Ok,49.92,UNSAT
Marabou,ACASXU_run2a_5_1_batch_2000,property3,64,Ok,130.24,UNSAT
Marabou,ACASXU_run2a_4_6_batch_2000,property3,64,Ok,92.96,UNSAT
Marabou,ACASXU_run2a_4_5_batch_2000,property3,64,Ok,21.31,UNSAT
Marabou,ACASXU_run2a_3_6_batch_2000,property3,64,Ok,91.49,UNSAT
Marabou,ACASXU_run2a_2_1_batch_2000,property3,64,Ok,135.45,UNSAT
Marabou,ACASXU_run2a_4_4_batch_2000,property2,64,Ok,28.43,SAT
Marabou,ACASXU_run2a_1_3_batch_2000,property2,64,Ok,515.19,UNSAT
Marabou,ACASXU_run2a_2_2_batch_2000,property2,64,Ok,27.92,SAT
Marabou,ACASXU_run2a_3_7_batch_2000,property2,64,Ok,108.16,SAT
Marabou,ACASXU_run2a_5_6_batch_2000,property2,64,Ok,27.66,SAT
Marabou,ACASXU_run2a_5_2_batch_2000,property2,64,Ok,23.68,SAT
Marabou,ACASXU_run2a_2_8_batch_2000,property2,64,Ok,29.53,SAT
Marabou,ACASXU_run2a_2_6_batch_2000,property2,64,Ok,25.05,SAT
Marabou,ACASXU_run2a_2_3_batch_2000,property2,64,Ok,28.59,SAT
Marabou,ACASXU_run2a_2_9_batch_2000,property2,64,Ok,83.17,SAT
Marabou,ACASXU_run2a_1_4_batch_2000,property2,64,Ok,113.40,SAT
Marabou,ACASXU_run2a_3_3_batch_2000,property2,64,Ok,1412.73,UNSAT
Marabou,ACASXU_run2a_4_7_batch_2000,property2,64,Ok,26.81,SAT
Marabou,ACASXU_run2a_3_5_batch_2000,property2,64,Ok,31.11,SAT
Marabou,ACASXU_run2a_5_9_batch_2000,property2,64,Ok,23.25,SAT
Marabou,ACASXU_run2a_5_4_batch_2000,property2,64,Ok,28.11,SAT
Marabou,ACASXU_run2a_1_9_batch_2000,property2,64,Ok,384.09,UNSAT
Marabou,ACASXU_run2a_3_1_batch_2000,property2,64,Ok,27.57,SAT
Marabou,ACASXU_run2a_2_7_batch_2000,property2,64,Ok,24.18,SAT
Marabou,ACASXU_run2a_5_1_batch_2000,property2,64,Ok,31.07,SAT
Marabou,ACASXU_run2a_3_8_batch_2000,property2,64,Ok,29.15,SAT
Marabou,ACASXU_run2a_1_2_batch_2000,property2,64,Ok,79.98,SAT
Marabou,ACASXU_run2a_4_2_batch_2000,property2,64,Ok,4592.01,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property2,64,Ok,33.56,SAT
Marabou,ACASXU_run2a_3_2_batch_2000,property2,64,Ok,121.50,SAT
Marabou,ACASXU_run2a_4_6_batch_2000,property2,64,Ok,24.02,SAT
Marabou,ACASXU_run2a_1_6_batch_2000,property2,64,Ok,168.12,SAT
Marabou,ACASXU_run2a_4_5_batch_2000,property2,64,Ok,28.52,SAT
Marabou,ACASXU_run2a_5_8_batch_2000,property2,64,Ok,30.14,SAT
Marabou,ACASXU_run2a_5_3_batch_2000,property2,64,Ok,105.97,SAT
Marabou,ACASXU_run2a_2_4_batch_2000,property2,64,Ok,20.09,SAT
Marabou,ACASXU_run2a_1_8_batch_2000,property2,64,Ok,1073.31,UNSAT
Marabou,ACASXU_run2a_4_9_batch_2000,property2,64,Ok,67.71,SAT
Marabou,ACASXU_run2a_1_7_batch_2000,property2,64,Ok,262.49,UNSAT
Marabou,ACASXU_run2a_3_9_batch_2000,property2,64,Ok,27.79,SAT
Marabou,ACASXU_run2a_5_5_batch_2000,property2,64,Ok,29.81,SAT
Marabou,ACASXU_run2a_4_8_batch_2000,property2,64,Ok,25.73,SAT
Marabou,ACASXU_run2a_4_1_batch_2000,property2,64,Ok,58.42,SAT
Marabou,ACASXU_run2a_2_1_batch_2000,property2,64,Ok,23.96,SAT
Marabou,ACASXU_run2a_3_4_batch_2000,property2,64,Ok,26.37,SAT
Marabou,ACASXU_run2a_4_3_batch_2000,property2,64,Ok,28.33,SAT
Marabou,ACASXU_run2a_2_5_batch_2000,property2,64,Ok,78.09,SAT
Marabou,ACASXU_run2a_1_5_batch_2000,property2,64,Ok,179.52,SAT
Marabou,ACASXU_run2a_1_1_batch_2000,property2,64,Ok,200.47,UNSAT
Marabou,ACASXU_run2a_3_6_batch_2000,property2,64,Ok,58.72,SAT
Marabou,ACASXU_run2a_5_3_batch_2000,property1,64,Ok,73.76,UNSAT
Marabou,ACASXU_run2a_1_3_batch_2000,property1,64,Ok,162.96,UNSAT
Marabou,ACASXU_run2a_3_6_batch_2000,property1,64,Ok,494.52,UNSAT
Marabou,ACASXU_run2a_3_4_batch_2000,property1,64,Ok,153.06,UNSAT
Marabou,ACASXU_run2a_2_4_batch_2000,property1,64,Ok,117.63,UNSAT
Marabou,ACASXU_run2a_4_3_batch_2000,property1,64,Ok,143.77,UNSAT
Marabou,ACASXU_run2a_5_4_batch_2000,property1,64,Ok,162.86,UNSAT
Marabou,ACASXU_run2a_1_2_batch_2000,property1,64,Ok,122.03,UNSAT
Marabou,ACASXU_run2a_1_5_batch_2000,property1,64,Ok,126.26,UNSAT
Marabou,ACASXU_run2a_4_5_batch_2000,property1,64,Ok,243.97,UNSAT
Marabou,ACASXU_run2a_5_6_batch_2000,property1,64,Ok,605.84,UNSAT
Marabou,ACASXU_run2a_2_7_batch_2000,property1,64,Ok,380.93,UNSAT
Marabou,ACASXU_run2a_5_1_batch_2000,property1,64,Ok,119.83,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property1,64,Ok,345.25,UNSAT
Marabou,ACASXU_run2a_3_9_batch_2000,property1,64,Ok,376.96,UNSAT
Marabou,ACASXU_run2a_5_5_batch_2000,property1,64,Ok,210.96,UNSAT
Marabou,ACASXU_run2a_2_2_batch_2000,property1,64,Ok,208.87,UNSAT
Marabou,ACASXU_run2a_1_4_batch_2000,property1,64,Ok,165.35,UNSAT
Marabou,ACASXU_run2a_1_9_batch_2000,property1,64,Ok,24.53,UNSAT
Marabou,ACASXU_run2a_4_8_batch_2000,property1,64,Ok,543.99,UNSAT
Marabou,ACASXU_run2a_3_2_batch_2000,property1,64,Ok,143.70,UNSAT
Marabou,ACASXU_run2a_3_8_batch_2000,property1,64,Ok,324.57,UNSAT
Marabou,ACASXU_run2a_5_9_batch_2000,property1,64,Ok,555.87,UNSAT
Marabou,ACASXU_run2a_3_1_batch_2000,property1,64,Ok,141.76,UNSAT
Marabou,ACASXU_run2a_2_9_batch_2000,property1,64,Ok,588.59,UNSAT
Marabou,ACASXU_run2a_1_8_batch_2000,property1,64,Ok,28.53,UNSAT
Marabou,ACASXU_run2a_4_7_batch_2000,property1,64,Ok,754.26,UNSAT
Marabou,ACASXU_run2a_2_1_batch_2000,property1,64,Ok,120.62,UNSAT
Marabou,ACASXU_run2a_4_6_batch_2000,property1,64,Ok,635.53,UNSAT
Marabou,ACASXU_run2a_5_8_batch_2000,property1,64,Ok,469.58,UNSAT
Marabou,ACASXU_run2a_4_2_batch_2000,property1,64,Ok,176.29,UNSAT
Marabou,ACASXU_run2a_3_3_batch_2000,property1,64,Ok,129.72,UNSAT
Marabou,ACASXU_run2a_2_6_batch_2000,property1,64,Ok,303.93,UNSAT
Marabou,ACASXU_run2a_2_5_batch_2000,property1,64,Ok,251.35,UNSAT
Marabou,ACASXU_run2a_2_3_batch_2000,property1,64,Ok,188.62,UNSAT
Marabou,ACASXU_run2a_3_5_batch_2000,property1,64,Ok,151.66,UNSAT
Marabou,ACASXU_run2a_1_1_batch_2000,property1,64,Ok,68.89,UNSAT
Marabou,ACASXU_run2a_3_7_batch_2000,property1,64,Ok,432.90,UNSAT
Marabou,ACASXU_run2a_1_6_batch_2000,property1,64,Ok,130.06,UNSAT
Marabou,ACASXU_run2a_4_9_batch_2000,property1,64,Ok,688.90,UNSAT
Marabou,ACASXU_run2a_1_7_batch_2000,property1,64,Ok,60.65,UNSAT
Marabou,ACASXU_run2a_5_2_batch_2000,property1,64,Ok,130.55,UNSAT
Marabou,ACASXU_run2a_4_1_batch_2000,property1,64,Ok,325.98,UNSAT
Marabou,ACASXU_run2a_4_4_batch_2000,property1,64,Ok,127.27,UNSAT
Marabou,ACASXU_run2a_2_8_batch_2000,property1,64,Ok,467.46,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property4,64,Ok,19.57,UNSAT
Marabou,ACASXU_run2a_2_1_batch_2000,property4,64,Ok,79.14,UNSAT
