Solver,network,property,cpus,state,runtime,SAT/UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,64,Ok,25.91,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,64,Ok,1.78,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,64,Ok,101.35,UNSAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,64,Ok,4.49,UNSAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,64,Ok,151.50,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,64,Ok,270.73,UNSAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,64,Ok,662.61,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,64,Ok,100.40,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,64,Ok,1309.11,UNSAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,64,Ok,68.99,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,64,Ok,1.26,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,64,Ok,6177.43,UNSAT
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,64,Ok,0.42,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,64,Ok,0.97,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,64,Ok,1.51,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,64,Ok,66.63,UNSAT
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,64,Ok,19.50,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,64,Ok,17.41,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,64,Ok,149.57,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,64,Ok,0.47,SAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,64,Ok,73.13,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,64,Ok,4.27,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,64,Ok,1455.37,UNSAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,64,Ok,6.35,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,64,Ok,13.16,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,64,Ok,223.62,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,64,Ok,13.57,UNSAT
ReluVal,ACASXU_run2a_4_2_batch_2000,property3,64,Ok,5408.17,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,64,Ok,5.01,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,64,Ok,3.56,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,64,Ok,0.56,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,64,Ok,141.45,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,64,Ok,3.05,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,64,Ok,413.39,UNSAT
ReluVal,ACASXU_run2a_3_7_batch_2000,property3,64,Ok,0.49,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,64,Ok,0.46,SAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,64,Ok,0.56,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,64,Ok,152.55,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,64,Ok,0.47,UNSAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,64,Ok,5.92,UNSAT
ReluVal,ACASXU_run2a_5_7_batch_2000,property3,64,Ok,0.67,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,64,Ok,0.46,SAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,64,Ok,1.00,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,64,Ok,1.69,UNSAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,64,Ok,516.65,UNSAT
ReluVal,ACASXU_run2a_5_7_batch_2000,property3,2,Ok,0.39,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,2,Ok,1.23,UNSAT
ReluVal,ACASXU_run2a_3_7_batch_2000,property3,2,Ok,1.83,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,2,Ok,392.85,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,2,Ok,247.57,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,2,Ok,2738.65,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,2,Ok,526.47,UNSAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,2,Ok,3.27,UNSAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,2,Ok,689.53,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,2,Ok,319.60,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,2,Ok,1.37,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,2,Ok,4.45,UNSAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,2,Ok,456.53,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,2,Ok,11.54,UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,2,Ok,211.18,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,2,Ok,10.02,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,2,Ok,0.66,SAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,2,Ok,627.94,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,2,Ok,0.68,SAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,2,Ok,0.69,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,2,TO,7200.0,--
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,2,Ok,76.26,UNSAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,2,Ok,15.72,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,2,Ok,29.56,UNSAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,2,Ok,2055.85,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,2,Ok,1191.18,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,2,Ok,61.04,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,2,Ok,535.10,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,2,Ok,5.05,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,2,Ok,2.16,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,2,Ok,970.89,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,2,Ok,11.89,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,2,Ok,3.69,UNSAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,2,Ok,1.88,UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,2,Ok,86.36,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,2,Ok,5095.66,UNSAT
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,2,Ok,0.25,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,2,Ok,0.71,SAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,2,Ok,484.73,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,2,Ok,41.65,UNSAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,2,Ok,40.57,UNSAT
ReluVal,ACASXU_run2a_4_2_batch_2000,property3,2,Ok,0,UNSAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,2,Ok,1216.48,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,2,Ok,21.05,UNSAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,2,Ok,21.27,UNSAT
ReluVal,ACASXU_run2a_5_7_batch_2000,property3,4,Ok,1.40,UNSAT
ReluVal,ACASXU_run2a_3_7_batch_2000,property3,4,Ok,1.61,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,4,Ok,1.94,UNSAT
ReluVal,ACASXU_run2a_4_2_batch_2000,property3,4,Ok,7200.0,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,4,Ok,251.72,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,4,TO,7200.0,--
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,4,Ok,0.48,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,4,Ok,35.70,UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,4,Ok,161.28,UNSAT
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,4,Ok,44.29,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,4,Ok,0.86,UNSAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,4,Ok,11.10,UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,4,Ok,59.50,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,4,Ok,0.79,SAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,4,Ok,311.37,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,4,Ok,173.60,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,4,Ok,0.50,SAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,4,Ok,1050.63,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,4,Ok,175.13,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,4,Ok,551.57,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,4,Ok,12.71,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,4,Ok,3.22,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,4,Ok,4.85,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,4,Ok,1.06,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,4,Ok,41.37,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,4,Ok,2268.49,UNSAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,4,Ok,4.35,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,4,Ok,706.00,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,4,Ok,9.68,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,4,Ok,0.48,SAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,4,Ok,31.31,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,4,Ok,4.73,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,4,Ok,439.81,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,4,Ok,325.62,UNSAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,4,Ok,1215.45,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,4,Ok,3296.34,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,4,Ok,2.37,UNSAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,4,Ok,356.26,UNSAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,4,Ok,1.43,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,4,Ok,15.29,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,4,Ok,28.42,UNSAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,4,Ok,10.41,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,4,Ok,534.08,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,4,Ok,10.52,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,4,Ok,301.92,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,16,Ok,1.28,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,16,Ok,5790.46,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,16,Ok,16.20,UNSAT
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,16,Ok,0.29,UNSAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,16,Ok,656.82,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,16,Ok,98.48,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,16,Ok,148.25,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,16,Ok,14.70,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,16,Ok,73.32,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,16,Ok,98.64,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,16,Ok,7200.0,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,16,Ok,0.56,SAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,16,Ok,500.31,UNSAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,16,Ok,152.56,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,16,Ok,1.92,UNSAT
